M,707,Ophelia,2.7451655486088092e16
M,709,Cressida,2.4085208574305363e17
M,722,Francisco,8.920447620113099e15
M,723,Margaret,6.702064327658226e15
M,724,Ferdinand,6.702064327658226e15
M,725,Perdita,6.702064327658226e15
M,726,Mab,8.377580409572782e14
M,727,Cupid,8.377580409572782e14
M,809,Halimede,1.809557368467721e17
M,810,Psamathe,5.361651462126581e16
M,811,Sao,5.361651462126581e16
M,812,Laomedeia,5.361651462126581e16
M,813,Neso,1.809557368467721e17
M,904,Kerberos,1.6489591520162106e16
M,905,Styx,3.972340335260341e15
P,10,Sun,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,559049.4055125477,208764.3560288118,-24121.45212938617,0.00151082518668189,0.01193408737636181,-0.00004886242563683935,
P,199,Mercury,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,4.527854311129748e7,2.089178983463553e7,-2.436861470289893e6,-29.93210477424411,46.38151668029497,6.535065774837726,
P,299,Venus,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-1.068625734229039e8,-5.525449738496638e6,6.096161085304536e6,1.658564574833822,-35.1141803349256,-0.5772701977170076,
P,301,Moon,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-2.219180514448998e7,1.457090587432225e8,-35433.74834531546,-30.21788495489723,-5.546987836441216,0.08359992922378079,
P,399,Earth,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-2.180609859381733e7,1.456022036529616e8,-29185.11448724568,-29.92224973962879,-4.618376221270331,-0.0007696454354169102,
P,401,Phobos,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-2.458862689031831e8,2.754155890468528e7,6.593449407131417e6,-0.8723869739923642,-20.11001448092365,-0.7833379875992437,
P,402,Deimos,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-2.458908847694412e8,2.752292127803095e7,6.593803282035034e6,-0.5543980944948195,-21.76908459790456,-0.9697547861924498,
P,499,Mars,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-2.458936813150658e8,2.75459492210281e7,6.597312953894267e6,-1.76572828648873,-22.0005598435332,-0.4179493053201186,
P,501,Io,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.738387197166172e8,2.390999884855132e8,1.629544118573987e7,-3.224313937950782,-29.12329824594885,-0.4605336096010308,
P,502,Europa,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.731286591684456e8,2.385171361247092e8,1.628028389665341e7,8.489710823907362,-6.050701157012464,0.5903117730456289,
P,503,Ganymede,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.732460899950325e8,2.40176644048e8,1.634456351452914e7,-14.74403656566583,-10.11662662167719,0.06441053407674202,
P,504,Callisto,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.74030325096448e8,2.40903335159126e8,1.635094266047218e7,-11.77107584448004,-14.47249669377961,-0.04800548587265219,
P,505,Amalthea,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.73306441829543e8,2.389760778775926e8,1.629770537473746e7,17.01189043637842,4.232295643186875,0.9889988325457724,
P,506,Himalia,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.827637769442286e8,2.304062331496918e8,1.673768437871562e7,-2.396465015387757,-13.87742867570923,-1.300590229021588,
P,507,Elara,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.687444327385454e8,2.508109709824334e8,1.305072235642175e7,-6.167524235974392,-10.23183155747323,1.276886419009421,
P,508,Pasiphae,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.600085215394677e8,2.128027497363466e8,3.113627741935605e7,-5.405377340188267,-12.38804017222572,0.1762962874263323,
P,509,Sinope,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.851630575291481e8,2.228401870535246e8,2.213168418233548e7,-6.366656582965434,-10.93836624078957,-0.3332829753680904,
P,510,Lysithea,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.817105486003917e8,2.307707970773697e8,1.113132750850832e7,-1.91135656209071,-13.83302879066278,-0.615011645035767,
P,511,Carme,2.4573875e6, A.D. 2015-Dec-31 00:00:00.0000,-7.871807018641057e8,2.127701583133373e8,1.067165030802083e7,-5.34144372649268,-10.9394408555284,0.4431686438604991,
